product,division,product_family,product_subfamily,product_type,quality_tier,quality_score,generation,strategic_role,name,base_price,base_cost,base_demand,variable_sell_pct,fixed_prod_pct,portfolio_penetration,successor,initial_active,catalog_rank
SW-ANL-BI-X,Software,Analytics,Business Analytics,Business Intelligence,Premium,3,G2,Premium,Aureon Business Intelligence Premium,2230.92,446.5,1.3135,0.0322,0.0495,0.34,,True,3
SW-ANL-FIN-E,Software,Analytics,Business Analytics,Finance Analytics,Essential,1,G2,Volume,Aureon Finance Analytics Essential,1260.6,180.01,2.5344,0.0378,0.04275,0.58,,True,4
SW-ANL-FIN-P,Software,Analytics,Business Analytics,Finance Analytics,Professional,2,G2,Core,Aureon Finance Analytics Professional,1616.16,274.75,1.98,0.035,0.045,0.48,,True,5
SW-ANL-FIN-X,Software,Analytics,Business Analytics,Finance Analytics,Premium,3,G2,Premium,Aureon Finance Analytics Premium,2391.92,496.08,1.2276,0.0322,0.0495,0.34,,True,6
SW-ANL-PRD-E,Software,Analytics,Advanced Analytics,Predictive Analytics,Essential,1,G2,Volume,Aureon Predictive Analytics Essential,1345.45,198.86,2.357,0.0378,0.04275,0.58,,True,1
SW-ANL-PRD-P,Software,Analytics,Advanced Analytics,Predictive Analytics,Professional,2,G2,Core,Aureon Predictive Analytics Professional,1724.94,303.5,1.8414,0.035,0.045,0.48,,True,2
SW-ANL-PRD-X,Software,Analytics,Advanced Analytics,Predictive Analytics,Premium,3,G2,Premium,Aureon Predictive Analytics Premium,2552.91,548.01,1.1417,0.0322,0.0495,0.34,,True,3
SW-ANL-OPS-E,Software,Analytics,Advanced Analytics,Operations Analytics,Essential,1,G2,Volume,Aureon Operations Analytics Essential,1430.3,218.54,2.1796,0.0378,0.04275,0.58,,True,4
SW-ANL-OPS-P,Software,Analytics,Advanced Analytics,Operations Analytics,Professional,2,G2,Core,Aureon Operations Analytics Professional,1833.72,333.55,1.7028,0.035,0.045,0.48,,True,5
SW-ANL-OPS-X,Software,Analytics,Advanced Analytics,Operations Analytics,Premium,3,G2,Premium,Aureon Operations Analytics Premium,2713.91,602.26,1.0557,0.0322,0.0495,0.34,,True,6
SW-AUT-ORC-E,Software,Automation,Orchestration,Process Orchestrator,Essential,1,G2,Volume,Aureon Process Orchestrator Essential,1231.74,169.74,2.5269,0.0378,0.04275,0.58,,True,1
SW-AUT-ORC-P,Software,Automation,Orchestration,Process Orchestrator,Professional,2,G2,Core,Aureon Process Orchestrator Professional,1579.16,259.06,1.9741,0.035,0.045,0.48,,True,2
SW-AUT-ORC-X,Software,Automation,Orchestration,Process Orchestrator,Premium,3,G2,Premium,Aureon Process Orchestrator Premium,2337.16,467.76,1.224,0.0322,0.0495,0.34,,True,3
SW-AUT-RPA-E,Software,Automation,Orchestration,Automation Studio,Essential,1,G2,Volume,Aureon Automation Studio Essential,1320.63,188.59,2.3616,0.0378,0.04275,0.58,,True,4
SW-AUT-RPA-P,Software,Automation,Orchestration,Automation Studio,Professional,2,G2,Core,Aureon Automation Studio Professional,1693.12,287.83,1.845,0.035,0.045,0.48,,True,5
SW-AUT-RPA-X,Software,Automation,Orchestration,Automation Studio,Premium,3,G2,Premium,Aureon Automation Studio Premium,2505.82,519.71,1.1439,0.0322,0.0495,0.34,,True,6
SW-AUT-INT-E,Software,Automation,Integration,Integration Hub,Essential,1,G2,Volume,Aureon Integration Hub Essential,1409.52,208.32,2.1963,0.0378,0.04275,0.58,,True,1
SW-AUT-INT-P,Software,Automation,Integration,Integration Hub,Professional,2,G2,Core,Aureon Integration Hub Professional,1807.08,317.96,1.7158,0.035,0.045,0.48,,True,2
SW-AUT-INT-X,Software,Automation,Integration,Integration Hub,Premium,3,G2,Premium,Aureon Integration Hub Premium,2674.48,574.1,1.0638,0.0322,0.0495,0.34,,True,3
SW-AUT-MON-E,Software,Automation,Integration,Monitoring Suite,Essential,1,G2,Volume,Aureon Monitoring Suite Essential,1498.41,228.95,2.031,0.0378,0.04275,0.58,,True,4
SW-AUT-MON-P,Software,Automation,Integration,Monitoring Suite,Professional,2,G2,Core,Aureon Monitoring Suite Professional,1921.04,349.44,1.5867,0.035,0.045,0.48,,True,5
SW-AUT-MON-X,Software,Automation,Integration,Monitoring Suite,Premium,3,G2,Premium,Aureon Monitoring Suite Premium,2843.14,630.94,0.9838,0.0322,0.0495,0.34,,True,6
HW-CTL-MCU-E,Hardware,Control Systems,Controllers,Compact Controller,Essential,1,G1 Legacy,Harvest,Aureon Compact Controller Essential,17609.87,12679.1,1.065,0.0594,0.05225,0.58,HW-CTL-MCU-E-NXT,True,1
HW-CTL-MCU-E-NXT,Hardware,Control Systems,Controllers,Compact Controller,Essential,1,G3,Growth,Aureon Compact Controller NextGen Essential,19018.65,9636.12,1.1928,0.0594,0.05225,0.6599999999999999,,False,2
HW-CTL-MCU-P,Hardware,Control Systems,Controllers,Compact Controller,Professional,2,G2,Core,Aureon Compact Controller Professional,22576.75,13071.94,0.832,0.055,0.055,0.48,,True,3
HW-CTL-MCU-X,Hardware,Control Systems,Controllers,Compact Controller,Premium,3,G2,Premium,Aureon Compact Controller Premium,33413.59,23602.69,0.5159,0.0506,0.0605,0.34,,True,4
HW-CTL-RCK-E,Hardware,Control Systems,Controllers,Rack Controller,Essential,1,G2,Volume,Aureon Rack Controller Essential,18880.68,9515.86,0.9953,0.0594,0.05225,0.58,,True,5
HW-CTL-RCK-P,Hardware,Control Systems,Controllers,Rack Controller,Professional,2,G2,Core,Aureon Rack Controller Professional,24206.0,14523.6,0.7776,0.055,0.055,0.48,,True,6
HW-CTL-RCK-X,Hardware,Control Systems,Controllers,Rack Controller,Premium,3,G2,Premium,Aureon Rack Controller Premium,35824.88,26223.81,0.4821,0.0506,0.0605,0.34,,True,7
HW-CTL-RDN-E,Hardware,Control Systems,Resilient Control,Redundant Controller,Essential,1,G2,Volume,Aureon Redundant Controller Essential,20151.5,10511.83,0.9257,0.0594,0.05225,0.58,,True,1
HW-CTL-RDN-P,Hardware,Control Systems,Resilient Control,Redundant Controller,Professional,2,G2,Core,Aureon Redundant Controller Professional,25835.25,16043.69,0.7232,0.055,0.055,0.48,,True,2
HW-CTL-RDN-X,Hardware,Control Systems,Resilient Control,Redundant Controller,Premium,3,G2,Premium,Aureon Redundant Controller Premium,38236.17,28968.49,0.4484,0.0506,0.0605,0.34,,True,3
HW-CTL-SAF-E,Hardware,Control Systems,Resilient Control,Safety Controller,Essential,1,G2,Volume,Aureon Safety Controller Essential,21422.31,11552.62,0.856,0.0594,0.05225,0.58,,True,4
HW-CTL-SAF-P,Hardware,Control Systems,Resilient Control,Safety Controller,Professional,2,G2,Core,Aureon Safety Controller Professional,27464.5,17632.21,0.6687,0.055,0.055,0.48,,True,5
HW-CTL-SAF-X,Hardware,Control Systems,Resilient Control,Safety Controller,Premium,3,G2,Premium,Aureon Safety Controller Premium,40647.46,31836.72,0.4146,0.0506,0.0605,0.34,,True,6
HW-EDG-GTW-E,Hardware,Edge Appliances,Gateways,Industrial Gateway,Essential,1,G1 Legacy,Harvest,Aureon Industrial Gateway Essential,20761.1,14947.99,0.9072,0.0594,0.05225,0.58,HW-EDG-GTW-E-NXT,True,1
HW-EDG-GTW-E-NXT,Hardware,Edge Appliances,Gateways,Industrial Gateway,Essential,1,G3,Growth,Aureon Industrial Gateway NextGen Essential,22421.99,11360.48,1.0161,0.0594,0.05225,0.6599999999999999,,False,2
HW-EDG-GTW-P,Hardware,Edge Appliances,Gateways,Industrial Gateway,Professional,2,G2,Core,Aureon Industrial Gateway Professional,26616.8,15411.13,0.7088,0.055,0.055,0.48,,True,3
HW-EDG-GTW-X,Hardware,Edge Appliances,Gateways,Industrial Gateway,Premium,3,G2,Premium,Aureon Industrial Gateway Premium,39392.86,27826.33,0.4394,0.0506,0.0605,0.34,,True,4
HW-EDG-SEC-E,Hardware,Edge Appliances,Gateways,Secure Gateway,Essential,1,G2,Volume,Aureon Secure Gateway Essential,22259.33,11218.7,0.8479,0.0594,0.05225,0.58,,True,5
HW-EDG-SEC-P,Hardware,Edge Appliances,Gateways,Secure Gateway,Professional,2,G2,Core,Aureon Secure Gateway Professional,28537.6,17122.56,0.6624,0.055,0.055,0.48,,True,6
HW-EDG-SEC-X,Hardware,Edge Appliances,Gateways,Secure Gateway,Premium,3,G2,Premium,Aureon Secure Gateway Premium,42235.65,30916.49,0.4107,0.0506,0.0605,0.34,,True,7
HW-EDG-CMP-E,Hardware,Edge Appliances,Compute,Edge Compute Node,Essential,1,G2,Volume,Aureon Edge Compute Node Essential,23757.55,12392.89,0.7885,0.0594,0.05225,0.58,,True,1
HW-EDG-CMP-P,Hardware,Edge Appliances,Compute,Edge Compute Node,Professional,2,G2,Core,Aureon Edge Compute Node Professional,30458.4,18914.67,0.616,0.055,0.055,0.48,,True,2
HW-EDG-CMP-X,Hardware,Edge Appliances,Compute,Edge Compute Node,Premium,3,G2,Premium,Aureon Edge Compute Node Premium,45078.43,34152.32,0.3819,0.0506,0.0605,0.34,,True,3
HW-EDG-AI-E,Hardware,Edge Appliances,Compute,AI Edge Appliance,Essential,1,G2,Volume,Aureon AI Edge Appliance Essential,25255.78,13619.93,0.7292,0.0594,0.05225,0.58,,True,4
HW-EDG-AI-P,Hardware,Edge Appliances,Compute,AI Edge Appliance,Professional,2,G2,Core,Aureon AI Edge Appliance Professional,32379.2,20787.45,0.5697,0.055,0.055,0.48,,True,5
HW-EDG-AI-X,Hardware,Edge Appliances,Compute,AI Edge Appliance,Premium,3,G2,Premium,Aureon AI Edge Appliance Premium,47921.22,37533.81,0.3532,0.0506,0.0605,0.34,,True,6
HW-TRM-FIX-E,Hardware,Terminals,Fixed Terminals,Fixed Terminal,Essential,1,G2,Volume,Aureon Fixed Terminal Essential,16312.3,7933.65,1.1044,0.0594,0.05225,0.58,,True,1
HW-TRM-FIX-P,Hardware,Terminals,Fixed Terminals,Fixed Terminal,Professional,2,G2,Core,Aureon Fixed Terminal Professional,20913.2,12108.74,0.8628,0.055,0.055,0.48,,True,2
HW-TRM-FIX-X,Hardware,Terminals,Fixed Terminals,Fixed Terminal,Premium,3,G2,Premium,Aureon Fixed Terminal Premium,30951.54,21863.55,0.535,0.0506,0.0605,0.34,,True,3
HW-TRM-KSK-E,Hardware,Terminals,Fixed Terminals,Self-Service Kiosk,Essential,1,G2,Volume,Aureon Self-Service Kiosk Essential,17489.47,8814.69,1.0322,0.0594,0.05225,0.58,,True,4
HW-TRM-KSK-P,Hardware,Terminals,Fixed Terminals,Self-Service Kiosk,Professional,2,G2,Core,Aureon Self-Service Kiosk Professional,22422.4,13453.44,0.8064,0.055,0.055,0.48,,True,5
HW-TRM-KSK-X,Hardware,Terminals,Fixed Terminals,Self-Service Kiosk,Premium,3,G2,Premium,Aureon Self-Service Kiosk Premium,33185.15,24291.53,0.5,0.0506,0.0605,0.34,,True,6
HW-TRM-MOB-E,Hardware,Terminals,Mobile Terminals,Mobile Terminal,Essential,1,G2,Volume,Aureon Mobile Terminal Essential,18666.65,9737.27,0.9599,0.0594,0.05225,0.58,,True,1
HW-TRM-MOB-P,Hardware,Terminals,Mobile Terminals,Mobile Terminal,Professional,2,G2,Core,Aureon Mobile Terminal Professional,23931.6,14861.52,0.75,0.055,0.055,0.48,,True,2
HW-TRM-MOB-X,Hardware,Terminals,Mobile Terminals,Mobile Terminal,Premium,3,G2,Premium,Aureon Mobile Terminal Premium,35418.77,26833.97,0.465,0.0506,0.0605,0.34,,True,3
HW-TRM-RUG-E,Hardware,Terminals,Mobile Terminals,Rugged Terminal,Essential,1,G2,Volume,Aureon Rugged Terminal Essential,19843.82,10701.38,0.8877,0.0594,0.05225,0.58,,True,4
HW-TRM-RUG-P,Hardware,Terminals,Mobile Terminals,Rugged Terminal,Professional,2,G2,Core,Aureon Rugged Terminal Professional,25440.8,16332.99,0.6935,0.055,0.055,0.48,,True,5
HW-TRM-RUG-X,Hardware,Terminals,Mobile Terminals,Rugged Terminal,Premium,3,G2,Premium,Aureon Rugged Terminal Premium,37652.38,29490.85,0.43,0.0506,0.0605,0.34,,True,6
HW-NET-ACC-E,Hardware,Network Devices,Access,Access Node,Essential,1,G2,Volume,Aureon Access Node Essential,18907.43,9195.82,0.9467,0.0594,0.05225,0.58,,True,1
HW-NET-ACC-P,Hardware,Network Devices,Access,Access Node,Professional,2,G2,Core,Aureon Access Node Professional,24240.3,14035.13,0.7396,0.055,0.055,0.48,,True,2
HW-NET-ACC-X,Hardware,Network Devices,Access,Access Node,Premium,3,G2,Premium,Aureon Access Node Premium,35875.64,25341.84,0.4585,0.0506,0.0605,0.34,,True,3
HW-NET-SWC-E,Hardware,Network Devices,Access,Secure Switch,Essential,1,G2,Volume,Aureon Secure Switch Essential,20271.89,10217.03,0.8847,0.0594,0.05225,0.58,,True,4
HW-NET-SWC-P,Hardware,Network Devices,Access,Secure Switch,Professional,2,G2,Core,Aureon Secure Switch Professional,25989.6,15593.76,0.6912,0.055,0.055,0.48,,True,5
HW-NET-SWC-X,Hardware,Network Devices,Access,Secure Switch,Premium,3,G2,Premium,Aureon Secure Switch Premium,38464.61,28156.09,0.4285,0.0506,0.0605,0.34,,True,6
HW-NET-DST-E,Hardware,Network Devices,Distribution,Distribution Node,Essential,1,G2,Volume,Aureon Distribution Node Essential,21636.34,11286.38,0.8228,0.0594,0.05225,0.58,,True,1
HW-NET-DST-P,Hardware,Network Devices,Distribution,Distribution Node,Professional,2,G2,Core,Aureon Distribution Node Professional,27738.9,17225.86,0.6428,0.055,0.055,0.48,,True,2
HW-NET-DST-X,Hardware,Network Devices,Distribution,Distribution Node,Premium,3,G2,Premium,Aureon Distribution Node Premium,41053.57,31103.01,0.3985,0.0506,0.0605,0.34,,True,3
HW-NET-RTR-E,Hardware,Network Devices,Distribution,Secure Router,Essential,1,G2,Volume,Aureon Secure Router Essential,23000.8,12403.87,0.7609,0.0594,0.05225,0.58,,True,4
HW-NET-RTR-P,Hardware,Network Devices,Distribution,Secure Router,Professional,2,G2,Core,Aureon Secure Router Professional,29488.2,18931.42,0.5944,0.055,0.055,0.48,,True,5
HW-NET-RTR-X,Hardware,Network Devices,Distribution,Secure Router,Premium,3,G2,Premium,Aureon Secure Router Premium,43642.54,34182.58,0.3685,0.0506,0.0605,0.34,,True,6
HW-SEN-RFID-E,Hardware,Sensors & Readers,Readers,RFID Reader,Essential,1,G2,Volume,Aureon RFID Reader Essential,13346.42,6491.17,1.2228,0.0594,0.05225,0.58,,True,1
HW-SEN-RFID-P,Hardware,Sensors & Readers,Readers,RFID Reader,Professional,2,G2,Core,Aureon RFID Reader Professional,17110.8,9907.15,0.9553,0.055,0.055,0.48,,True,2
HW-SEN-RFID-X,Hardware,Sensors & Readers,Readers,RFID Reader,Premium,3,G2,Premium,Aureon RFID Reader Premium,25323.98,17888.36,0.5923,0.0506,0.0605,0.34,,True,3
HW-SEN-BIO-E,Hardware,Sensors & Readers,Readers,Biometric Reader,Essential,1,G2,Volume,Aureon Biometric Reader Essential,14309.57,7212.02,1.1428,0.0594,0.05225,0.58,,True,4
HW-SEN-BIO-P,Hardware,Sensors & Readers,Readers,Biometric Reader,Professional,2,G2,Core,Aureon Biometric Reader Professional,18345.6,11007.36,0.8928,0.055,0.055,0.48,,True,5
HW-SEN-BIO-X,Hardware,Sensors & Readers,Readers,Biometric Reader,Premium,3,G2,Premium,Aureon Biometric Reader Premium,27151.49,19874.89,0.5535,0.0506,0.0605,0.34,,True,6
HW-SEN-CAM-E,Hardware,Sensors & Readers,Sensing,Vision Sensor,Essential,1,G2,Volume,Aureon Vision Sensor Essential,15272.71,7966.86,1.0628,0.0594,0.05225,0.58,,True,1
HW-SEN-CAM-P,Hardware,Sensors & Readers,Sensing,Vision Sensor,Professional,2,G2,Core,Aureon Vision Sensor Professional,19580.4,12159.43,0.8303,0.055,0.055,0.48,,True,2
HW-SEN-CAM-X,Hardware,Sensors & Readers,Sensing,Vision Sensor,Premium,3,G2,Premium,Aureon Vision Sensor Premium,28978.99,21955.06,0.5148,0.0506,0.0605,0.34,,True,3
HW-SEN-HUB-E,Hardware,Sensors & Readers,Sensing,Sensor Hub,Essential,1,G2,Volume,Aureon Sensor Hub Essential,16235.86,8755.67,0.9828,0.0594,0.05225,0.58,,True,4
HW-SEN-HUB-P,Hardware,Sensors & Readers,Sensing,Sensor Hub,Professional,2,G2,Core,Aureon Sensor Hub Professional,20815.2,13363.36,0.7678,0.055,0.055,0.48,,True,5
HW-SEN-HUB-X,Hardware,Sensors & Readers,Sensing,Sensor Hub,Premium,3,G2,Premium,Aureon Sensor Hub Premium,30806.5,24128.88,0.476,0.0506,0.0605,0.34,,True,6
EV-DEP-LCH-E,Events,Deployment & Integration,Deployment,Site Launch,Essential,1,G2,Volume,Aureon Site Launch Essential,127033.14,50456.8,0.1355,0.0702,0.05225,0.58,,True,1
EV-DEP-LCH-P,Events,Deployment & Integration,Deployment,Site Launch,Professional,2,G2,Core,Aureon Site Launch Professional,162863.0,77009.77,0.1058,0.065,0.055,0.48,,True,2
EV-DEP-LCH-X,Events,Deployment & Integration,Deployment,Site Launch,Premium,3,G2,Premium,Aureon Site Launch Premium,241037.24,139048.84,0.0656,0.0598,0.0605,0.34,,True,3
EV-DEP-ROL-E,Events,Deployment & Integration,Deployment,Regional Rollout,Essential,1,G2,Volume,Aureon Regional Rollout Essential,136200.48,56060.12,0.1266,0.0702,0.05225,0.58,,True,4
EV-DEP-ROL-P,Events,Deployment & Integration,Deployment,Regional Rollout,Professional,2,G2,Core,Aureon Regional Rollout Professional,174616.0,85561.84,0.0989,0.065,0.055,0.48,,True,5
EV-DEP-ROL-X,Events,Deployment & Integration,Deployment,Regional Rollout,Premium,3,G2,Premium,Aureon Regional Rollout Premium,258431.68,154490.46,0.0613,0.0598,0.0605,0.34,,True,6
EV-DEP-MIG-E,Events,Deployment & Integration,Integration,Migration Wave,Essential,1,G2,Volume,Aureon Migration Wave Essential,145367.82,61927.56,0.1177,0.0702,0.05225,0.58,,True,1
EV-DEP-MIG-P,Events,Deployment & Integration,Integration,Migration Wave,Professional,2,G2,Core,Aureon Migration Wave Professional,186369.0,94517.04,0.092,0.065,0.055,0.48,,True,2
EV-DEP-MIG-X,Events,Deployment & Integration,Integration,Migration Wave,Premium,3,G2,Premium,Aureon Migration Wave Premium,275826.12,170659.96,0.057,0.0598,0.0605,0.34,,True,3
EV-DEP-COM-E,Events,Deployment & Integration,Integration,Commissioning Program,Essential,1,G1 Legacy,Harvest,Aureon Commissioning Program Essential,154535.16,98902.5,0.1089,0.0702,0.05225,0.58,EV-DEP-COM-E-NXT,True,4
EV-DEP-COM-E-NXT,Events,Deployment & Integration,Integration,Commissioning Program,Essential,1,G3,Growth,Aureon Commissioning Program NextGen Essential,166897.97,75165.9,0.1219,0.0702,0.05225,0.6599999999999999,,False,5
EV-DEP-COM-P,Events,Deployment & Integration,Integration,Commissioning Program,Professional,2,G2,Core,Aureon Commissioning Program Professional,198122.0,103875.36,0.0851,0.065,0.055,0.48,,True,6
EV-DEP-COM-X,Events,Deployment & Integration,Integration,Commissioning Program,Premium,3,G2,Premium,Aureon Commissioning Program Premium,293220.56,187557.36,0.0527,0.0598,0.0605,0.34,,True,7
EV-TRN-OPR-E,Events,Training & Enablement,Operational Training,Operator Academy,Essential,1,G1 Legacy,Harvest,Aureon Operator Academy Essential,79533.79,50901.63,0.2016,0.0702,0.05225,0.58,EV-TRN-OPR-E-NXT,True,1
EV-TRN-OPR-E-NXT,Events,Training & Enablement,Operational Training,Operator Academy,Essential,1,G3,Growth,Aureon Operator Academy NextGen Essential,85896.5,38685.24,0.2258,0.0702,0.05225,0.6599999999999999,,False,2
EV-TRN-OPR-P,Events,Training & Enablement,Operational Training,Operator Academy,Professional,2,G2,Core,Aureon Operator Academy Professional,101966.4,48214.81,0.1575,0.065,0.055,0.48,,True,3
EV-TRN-OPR-X,Events,Training & Enablement,Operational Training,Operator Academy,Premium,3,G2,Premium,Aureon Operator Academy Premium,150910.27,87056.66,0.0977,0.0598,0.0605,0.34,,True,4
EV-TRN-CRT-E,Events,Training & Enablement,Operational Training,Certification Program,Essential,1,G2,Volume,Aureon Certification Program Essential,85273.34,35098.51,0.1884,0.0702,0.05225,0.58,,True,5
EV-TRN-CRT-P,Events,Training & Enablement,Operational Training,Certification Program,Professional,2,G2,Core,Aureon Certification Program Professional,109324.8,53569.15,0.1472,0.065,0.055,0.48,,True,6
EV-TRN-CRT-X,Events,Training & Enablement,Operational Training,Certification Program,Premium,3,G2,Premium,Aureon Certification Program Premium,161800.7,96724.46,0.0913,0.0598,0.0605,0.34,,True,7
EV-TRN-TEC-E,Events,Training & Enablement,Leadership Training,Technical Bootcamp,Essential,1,G2,Volume,Aureon Technical Bootcamp Essential,91012.9,38772.04,0.1752,0.0702,0.05225,0.58,,True,1
EV-TRN-TEC-P,Events,Training & Enablement,Leadership Training,Technical Bootcamp,Professional,2,G2,Core,Aureon Technical Bootcamp Professional,116683.2,59175.88,0.1369,0.065,0.055,0.48,,True,2
EV-TRN-TEC-X,Events,Training & Enablement,Leadership Training,Technical Bootcamp,Premium,3,G2,Premium,Aureon Technical Bootcamp Premium,172691.14,106847.98,0.0849,0.0598,0.0605,0.34,,True,3
EV-TRN-EXE-E,Events,Training & Enablement,Leadership Training,Executive Workshop,Essential,1,G2,Volume,Aureon Executive Workshop Essential,96752.45,42610.94,0.162,0.0702,0.05225,0.58,,True,4
EV-TRN-EXE-P,Events,Training & Enablement,Leadership Training,Executive Workshop,Professional,2,G2,Core,Aureon Executive Workshop Professional,124041.6,65035.01,0.1266,0.065,0.055,0.48,,True,5
EV-TRN-EXE-X,Events,Training & Enablement,Leadership Training,Executive Workshop,Premium,3,G2,Premium,Aureon Executive Workshop Premium,183581.57,117427.22,0.0785,0.0598,0.0605,0.34,,True,6
EV-EXP-PRD-E,Events,Customer Experience,Market Events,Product Launch,Essential,1,G2,Volume,Aureon Product Launch Essential,145811.95,57915.63,0.1134,0.0702,0.05225,0.58,,True,1
EV-EXP-PRD-P,Events,Customer Experience,Market Events,Product Launch,Professional,2,G2,Core,Aureon Product Launch Professional,186938.4,88393.82,0.0886,0.065,0.055,0.48,,True,2
EV-EXP-PRD-X,Events,Customer Experience,Market Events,Product Launch,Premium,3,G2,Premium,Aureon Product Launch Premium,276668.83,159603.89,0.0549,0.0598,0.0605,0.34,,True,3
